date,sessionId,debut_parc,fin_parc,temps_parcours_secondes,parcours
06-01-2023,54799207671576572391673008009,06/01/2023 13:28:28,06/01/2023 13:28:46,17,"/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation"
12-12-2022,50152945336560901181670857591,12/12/2022 16:33:53,12/12/2022 16:36:33,159,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat"
16-01-2023,38443498559423495951673827099,16/01/2023 00:58:50,16/01/2023 00:58:50,1,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
04-12-2022,55830738814659698161670149696,04/12/2022 11:37:54,04/12/2022 11:43:22,328,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation"
19-11-2022,75325196927076206821668867915,19/11/2022 15:26:48,19/11/2022 15:28:28,100,"/souscription/souscription_tel4_demande,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_connexion,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index"
10-12-2022,83147926407272761041670700405,10/12/2022 20:30:59,10/12/2022 20:31:32,33,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite"
05-12-2022,85385619916265690221670231357,05/12/2022 10:13:03,05/12/2022 10:25:08,725,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation"
11-01-2023,30183331513456683211673458057,11/01/2023 18:27:38,11/01/2023 18:27:38,0,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet"
15-12-2022,46341019354526491501671111030,15/12/2022 14:30:30,15/12/2022 14:30:30,0,"/souscription/souscription_tel4_demande/paiement,/apps/tunnel_de_souscription_v4_etape_1_projet"
05-01-2023,79930277827008937431672939056,05/01/2023 18:18:36,05/01/2023 18:20:58,142,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_connexion,/apps/tunnel_de_souscription_v4_etape_1_projet"
11-01-2023,91187644335418740921673416277,11/01/2023 06:53:11,11/01/2023 06:53:11,0,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
14-01-2023,73251918674431525911673700356,14/01/2023 13:46:02,14/01/2023 13:46:02,0,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet"
07-11-2022,1122959288262188311667815518,07/11/2022 11:06:29,07/11/2022 11:15:07,517,"/souscription/souscription_tel4_demande,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation,/souscription/souscription_tel4_demande/confirmation,/apps/tunnel_de_souscription_v4_etape_1_projet"
13-01-2023,85530368904109483371673631469,13/01/2023 18:38:03,13/01/2023 18:38:03,0,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
03-02-2023,62396678185962108581675434128,03/02/2023 15:28:24,03/02/2023 15:28:24,1,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet"
11-01-2023,50918577416812083171673429048,11/01/2023 10:24:20,11/01/2023 10:24:20,0,"/souscription/souscription_tel4/projet,/apps/tunnel_de_souscription_v4_etape_1_projet"
28-11-2022,15965715103258751071669650378,28/11/2022 17:34:42,28/11/2022 17:34:42,0,"/souscription/souscription_tel4_demande,/apps/tunnel_de_souscription_v4_etape_1_projet"
